run_id,flower_id,sector,drone_id,x,y,bloom_day,pollinated_at,status
RUN_3,F059,LEFT,0,1.82,14.95,2,2026-05-07 16:42:34,POLLINATED
RUN_3,F296,RIGHT,2,46.73,12.09,2,2026-05-07 16:42:37,POLLINATED
RUN_3,F040,LEFT,0,2.58,12.42,2,2026-05-07 16:42:40,POLLINATED
RUN_3,F048,LEFT,0,17.14,5.5,2,2026-05-07 16:42:43,POLLINATED
RUN_3,F106,CENTER,1,38.36,14.5,2,2026-05-07 16:42:46,POLLINATED
RUN_3,F001,LEFT,0,12.65,0.98,2,2026-05-07 16:42:49,POLLINATED
RUN_3,F077,LEFT,0,8.92,16.87,2,2026-05-07 16:42:52,POLLINATED
RUN_3,F032,LEFT,0,6.49,5.59,2,2026-05-07 16:42:55,POLLINATED
RUN_3,F033,LEFT,0,4.51,18.42,2,2026-05-07 16:42:58,POLLINATED
RUN_3,F116,CENTER,1,36.34,6.27,2,2026-05-07 16:43:01,POLLINATED
RUN_3,F057,LEFT,0,17.18,18.49,2,2026-05-07 16:43:04,POLLINATED
RUN_3,F056,LEFT,0,6.34,1.6,2,2026-05-07 16:43:07,POLLINATED
RUN_3,F228,RIGHT,2,46.4,0.76,2,2026-05-07 16:43:10,POLLINATED
RUN_3,F017,LEFT,0,7.69,10.99,2,2026-05-07 16:43:13,POLLINATED
RUN_3,F102,CENTER,1,22.7,17.59,2,2026-05-07 16:43:16,POLLINATED
RUN_3,F131,CENTER,1,23.3,13.56,2,2026-05-07 16:43:19,POLLINATED
RUN_3,F073,LEFT,0,19.2,2.37,2,2026-05-07 16:43:22,POLLINATED
RUN_3,F093,LEFT,0,13.26,6.2,2,2026-05-07 16:43:25,POLLINATED
RUN_3,F276,RIGHT,2,56.27,8.02,2,2026-05-07 16:43:28,POLLINATED
RUN_3,F244,RIGHT,2,54.99,7.67,2,2026-05-07 16:43:31,POLLINATED
RUN_3,F101,CENTER,1,28.79,19.2,2,2026-05-07 16:43:34,POLLINATED
RUN_3,F119,CENTER,1,28.89,13.34,2,2026-05-07 16:43:37,POLLINATED
RUN_3,F018,LEFT,0,13.89,1.37,2,2026-05-07 16:43:40,POLLINATED
RUN_3,F172,CENTER,1,36.45,12.31,2,2026-05-07 16:43:43,POLLINATED
RUN_3,F280,RIGHT,2,44.11,5.26,2,2026-05-07 16:43:46,POLLINATED
RUN_3,F217,RIGHT,2,54.95,1.2,2,2026-05-07 16:43:49,POLLINATED
RUN_3,F112,CENTER,1,31.03,4.14,2,2026-05-07 16:43:52,POLLINATED
RUN_3,F246,RIGHT,2,59.13,5.04,2,2026-05-07 16:43:55,POLLINATED
RUN_3,F237,RIGHT,2,43.09,1.83,2,2026-05-07 16:43:58,POLLINATED
RUN_3,F279,RIGHT,2,55.74,4.66,2,2026-05-07 16:44:01,POLLINATED
RUN_3,F080,LEFT,0,16.63,3.66,2,2026-05-07 16:44:04,POLLINATED
RUN_3,F283,RIGHT,2,42.35,12.42,2,2026-05-07 16:44:07,POLLINATED
RUN_3,F190,CENTER,1,31.06,10.32,2,2026-05-07 16:44:10,POLLINATED
RUN_3,F277,RIGHT,2,55.29,19.0,2,2026-05-07 16:44:13,POLLINATED
RUN_3,F036,LEFT,0,11.17,5.49,2,2026-05-07 16:44:16,POLLINATED
RUN_3,F231,RIGHT,2,58.49,12.81,2,2026-05-07 16:44:19,POLLINATED
RUN_3,F288,RIGHT,2,58.44,18.88,2,2026-05-07 16:44:22,POLLINATED
RUN_3,F149,CENTER,1,29.35,1.68,2,2026-05-07 16:44:25,POLLINATED
RUN_3,F265,RIGHT,2,47.77,13.48,2,2026-05-07 16:44:28,POLLINATED
RUN_3,F166,CENTER,1,26.91,17.21,2,2026-05-07 16:44:31,POLLINATED
RUN_3,F122,CENTER,1,33.11,12.27,2,2026-05-07 16:44:34,POLLINATED
RUN_3,F126,CENTER,1,21.38,19.19,2,2026-05-07 16:44:37,POLLINATED
RUN_3,F194,CENTER,1,26.33,4.88,2,2026-05-07 16:44:40,POLLINATED
RUN_3,F038,LEFT,0,19.45,10.18,2,2026-05-07 16:44:43,POLLINATED
RUN_3,F012,LEFT,0,6.96,3.45,2,2026-05-07 16:44:46,POLLINATED
RUN_3,F162,CENTER,1,37.73,11.75,2,2026-05-07 16:44:49,POLLINATED
RUN_3,F151,CENTER,1,35.13,18.48,2,2026-05-07 16:44:52,POLLINATED
RUN_3,F168,CENTER,1,28.51,16.36,2,2026-05-07 16:44:55,POLLINATED
RUN_3,F035,LEFT,0,17.88,9.22,2,2026-05-07 16:44:58,POLLINATED
RUN_3,F137,CENTER,1,31.12,6.53,2,2026-05-07 16:45:01,POLLINATED
RUN_3,F095,LEFT,0,12.12,19.26,2,2026-05-07 16:45:04,POLLINATED
RUN_3,F198,CENTER,1,31.84,19.13,2,2026-05-07 16:45:07,POLLINATED
RUN_3,F270,RIGHT,2,59.27,6.18,2,2026-05-07 16:45:10,POLLINATED
RUN_3,F169,CENTER,1,29.44,14.73,2,2026-05-07 16:45:13,POLLINATED
RUN_3,F025,LEFT,0,12.81,12.07,2,2026-05-07 16:45:16,POLLINATED
RUN_3,F220,RIGHT,2,56.93,16.17,2,2026-05-07 16:45:19,POLLINATED
RUN_3,F272,RIGHT,2,59.49,16.71,2,2026-05-07 16:45:22,POLLINATED
RUN_3,F084,LEFT,0,18.69,19.41,2,2026-05-07 16:45:25,POLLINATED
RUN_3,F261,RIGHT,2,47.31,8.68,2,2026-05-07 16:45:28,POLLINATED
RUN_3,F013,LEFT,0,18.69,6.9,2,2026-05-07 16:45:31,POLLINATED
RUN_3,F165,CENTER,1,26.72,9.14,2,2026-05-07 16:45:34,POLLINATED
RUN_3,F230,RIGHT,2,56.49,2.66,2,2026-05-07 16:45:37,POLLINATED
RUN_3,F008,LEFT,0,12.85,10.85,2,2026-05-07 16:45:40,POLLINATED
RUN_3,F254,RIGHT,2,43.24,17.05,2,2026-05-07 16:45:43,POLLINATED
RUN_3,F130,CENTER,1,27.8,8.09,2,2026-05-07 16:45:46,POLLINATED
RUN_3,F211,RIGHT,2,48.78,15.97,2,2026-05-07 16:45:49,POLLINATED
RUN_3,F257,RIGHT,2,42.03,6.74,2,2026-05-07 16:45:52,POLLINATED
RUN_3,F273,RIGHT,2,42.53,7.75,2,2026-05-07 16:45:55,POLLINATED
RUN_3,F193,CENTER,1,28.18,5.12,2,2026-05-07 16:45:58,POLLINATED
RUN_3,F274,RIGHT,2,47.32,6.12,2,2026-05-07 16:46:01,POLLINATED
RUN_3,F096,LEFT,0,16.02,6.19,2,2026-05-07 16:46:04,POLLINATED
RUN_3,F202,RIGHT,2,48.82,11.86,2,2026-05-07 16:46:07,POLLINATED
RUN_3,F222,RIGHT,2,49.28,1.53,2,2026-05-07 16:46:10,POLLINATED
RUN_3,F192,CENTER,1,20.83,6.09,2,2026-05-07 16:46:13,POLLINATED
RUN_3,F107,CENTER,1,24.24,8.69,2,2026-05-07 16:46:16,POLLINATED
RUN_3,F227,RIGHT,2,55.69,13.99,2,2026-05-07 16:46:19,POLLINATED
RUN_3,F229,RIGHT,2,48.25,4.77,2,2026-05-07 16:46:22,POLLINATED
RUN_3,F023,LEFT,0,7.53,4.48,2,2026-05-07 16:46:25,POLLINATED
RUN_3,F210,RIGHT,2,45.78,19.44,2,2026-05-07 16:46:28,POLLINATED
RUN_3,F063,LEFT,0,8.54,4.52,2,2026-05-07 16:46:31,POLLINATED
RUN_3,F284,RIGHT,2,41.13,7.43,2,2026-05-07 16:46:34,POLLINATED
RUN_3,F285,RIGHT,2,44.32,15.44,2,2026-05-07 16:46:37,POLLINATED
RUN_3,F133,CENTER,1,37.32,15.29,2,2026-05-07 16:46:40,POLLINATED
RUN_4,F094,LEFT,0,6.51,14.79,3,2026-05-07 16:47:43,POLLINATED
RUN_4,F167,CENTER,1,25.79,18.57,3,2026-05-07 16:47:46,POLLINATED
RUN_4,F139,CENTER,1,35.99,17.45,3,2026-05-07 16:47:49,POLLINATED
RUN_4,F039,LEFT,0,2.23,1.4,3,2026-05-07 16:47:52,POLLINATED
RUN_4,F238,RIGHT,2,55.18,16.73,3,2026-05-07 16:47:55,POLLINATED
RUN_4,F298,RIGHT,2,41.36,1.21,3,2026-05-07 16:47:58,POLLINATED
RUN_4,F004,LEFT,0,17.45,2.15,3,2026-05-07 16:48:01,POLLINATED
RUN_4,F242,RIGHT,2,51.52,13.04,3,2026-05-07 16:48:04,POLLINATED
RUN_4,F253,RIGHT,2,57.8,0.79,3,2026-05-07 16:48:07,POLLINATED
RUN_4,F115,CENTER,1,31.31,8.22,3,2026-05-07 16:48:10,POLLINATED
RUN_4,F111,CENTER,1,26.7,13.75,3,2026-05-07 16:48:13,POLLINATED
RUN_4,F223,RIGHT,2,50.35,12.33,3,2026-05-07 16:48:16,POLLINATED
RUN_4,F170,CENTER,1,38.69,1.26,3,2026-05-07 16:48:19,POLLINATED
RUN_4,F009,LEFT,0,4.69,11.7,3,2026-05-07 16:48:22,POLLINATED
RUN_4,F219,RIGHT,2,42.7,15.18,3,2026-05-07 16:48:25,POLLINATED
RUN_4,F110,CENTER,1,30.14,13.17,3,2026-05-07 16:48:28,POLLINATED
RUN_4,F043,LEFT,0,18.95,16.85,3,2026-05-07 16:48:31,POLLINATED
RUN_4,F146,CENTER,1,23.37,7.78,3,2026-05-07 16:48:34,POLLINATED
RUN_4,F020,LEFT,0,2.02,4.92,3,2026-05-07 16:48:37,POLLINATED
RUN_4,F154,CENTER,1,38.41,6.17,3,2026-05-07 16:48:40,POLLINATED
RUN_4,F255,RIGHT,2,58.93,1.92,3,2026-05-07 16:48:43,POLLINATED
RUN_4,F175,CENTER,1,37.75,7.63,3,2026-05-07 16:48:46,POLLINATED
RUN_4,F114,CENTER,1,34.71,3.81,3,2026-05-07 16:48:49,POLLINATED
RUN_4,F007,LEFT,0,1.0,4.28,3,2026-05-07 16:48:52,POLLINATED
RUN_4,F030,LEFT,0,16.51,15.24,3,2026-05-07 16:48:55,POLLINATED
RUN_4,F085,LEFT,0,3.44,6.14,3,2026-05-07 16:48:58,POLLINATED
RUN_4,F109,CENTER,1,32.34,13.1,3,2026-05-07 16:49:01,POLLINATED
RUN_4,F245,RIGHT,2,58.22,17.02,3,2026-05-07 16:49:04,POLLINATED
RUN_4,F041,LEFT,0,15.55,8.52,3,2026-05-07 16:49:07,POLLINATED
RUN_4,F259,RIGHT,2,45.96,4.82,3,2026-05-07 16:49:10,POLLINATED
RUN_4,F121,CENTER,1,33.02,5.89,3,2026-05-07 16:49:13,POLLINATED
RUN_4,F089,LEFT,0,2.02,4.03,3,2026-05-07 16:49:16,POLLINATED
RUN_4,F117,CENTER,1,24.49,15.43,3,2026-05-07 16:49:19,POLLINATED
RUN_4,F262,RIGHT,2,45.14,8.33,3,2026-05-07 16:49:22,POLLINATED
RUN_4,F047,LEFT,0,9.12,18.62,3,2026-05-07 16:49:25,POLLINATED
RUN_4,F203,RIGHT,2,57.4,14.46,3,2026-05-07 16:49:28,POLLINATED
RUN_4,F108,CENTER,1,38.53,17.99,3,2026-05-07 16:49:31,POLLINATED
RUN_4,F292,RIGHT,2,45.52,2.85,3,2026-05-07 16:49:34,POLLINATED
RUN_4,F234,RIGHT,2,49.47,9.18,3,2026-05-07 16:49:37,POLLINATED
RUN_4,F289,RIGHT,2,46.11,17.04,3,2026-05-07 16:49:40,POLLINATED
RUN_4,F164,CENTER,1,23.95,5.44,3,2026-05-07 16:49:43,POLLINATED
RUN_4,F241,RIGHT,2,54.29,16.41,3,2026-05-07 16:49:46,POLLINATED
RUN_4,F297,RIGHT,2,52.81,12.57,3,2026-05-07 16:49:49,POLLINATED
RUN_4,F071,LEFT,0,15.84,4.12,3,2026-05-07 16:49:52,POLLINATED
RUN_4,F163,CENTER,1,33.1,2.1,3,2026-05-07 16:49:55,POLLINATED
RUN_4,F290,RIGHT,2,55.78,9.4,3,2026-05-07 16:49:58,POLLINATED
RUN_4,F147,CENTER,1,23.4,4.57,3,2026-05-07 16:50:01,POLLINATED
RUN_4,F212,RIGHT,2,58.91,9.43,3,2026-05-07 16:50:04,POLLINATED
RUN_4,F050,LEFT,0,17.84,17.04,3,2026-05-07 16:50:07,POLLINATED
RUN_4,F236,RIGHT,2,51.89,14.68,3,2026-05-07 16:50:10,POLLINATED
RUN_4,F178,CENTER,1,25.11,13.75,3,2026-05-07 16:50:13,POLLINATED
RUN_4,F176,CENTER,1,38.39,4.27,3,2026-05-07 16:50:16,POLLINATED
RUN_4,F186,CENTER,1,34.76,11.33,3,2026-05-07 16:50:19,POLLINATED
RUN_4,F044,LEFT,0,0.72,14.19,3,2026-05-07 16:50:22,POLLINATED
RUN_4,F282,RIGHT,2,53.44,3.1,3,2026-05-07 16:50:25,POLLINATED
RUN_4,F256,RIGHT,2,55.35,5.54,3,2026-05-07 16:50:28,POLLINATED
RUN_4,F010,LEFT,0,15.88,0.62,3,2026-05-07 16:50:31,POLLINATED
RUN_4,F268,RIGHT,2,45.97,10.89,3,2026-05-07 16:50:34,POLLINATED
RUN_4,F179,CENTER,1,35.81,15.63,3,2026-05-07 16:50:37,POLLINATED
RUN_4,F049,LEFT,0,10.01,3.89,3,2026-05-07 16:50:40,POLLINATED
RUN_4,F086,LEFT,0,1.59,11.6,3,2026-05-07 16:50:43,POLLINATED
RUN_4,F134,CENTER,1,33.72,9.33,3,2026-05-07 16:50:46,POLLINATED
RUN_4,F060,LEFT,0,15.05,2.94,3,2026-05-07 16:50:49,POLLINATED
RUN_4,F015,LEFT,0,16.6,11.97,3,2026-05-07 16:50:52,POLLINATED
RUN_4,F024,LEFT,0,5.57,18.3,3,2026-05-07 16:50:55,POLLINATED
RUN_4,F016,LEFT,0,10.69,18.99,3,2026-05-07 16:50:58,POLLINATED
RUN_4,F138,CENTER,1,34.85,8.91,3,2026-05-07 16:51:01,POLLINATED
RUN_4,F088,LEFT,0,3.49,18.75,3,2026-05-07 16:51:04,POLLINATED
RUN_4,F224,RIGHT,2,42.99,5.97,3,2026-05-07 16:51:07,POLLINATED
RUN_4,F003,LEFT,0,14.49,13.36,3,2026-05-07 16:51:10,POLLINATED
RUN_4,F100,CENTER,1,27.07,15.44,3,2026-05-07 16:51:13,POLLINATED
RUN_4,F005,LEFT,0,8.52,1.07,3,2026-05-07 16:51:16,POLLINATED
RUN_4,F046,LEFT,0,2.62,8.76,3,2026-05-07 16:51:19,POLLINATED
RUN_4,F150,CENTER,1,36.32,7.9,3,2026-05-07 16:51:22,POLLINATED
RUN_4,F161,CENTER,1,39.13,10.65,3,2026-05-07 16:51:25,POLLINATED
RUN_4,F098,LEFT,0,3.05,2.69,3,2026-05-07 16:51:28,POLLINATED
RUN_4,F300,RIGHT,2,44.96,10.71,3,2026-05-07 16:51:31,POLLINATED
RUN_4,F225,RIGHT,2,57.24,9.71,3,2026-05-07 16:51:34,POLLINATED
RUN_4,F072,LEFT,0,8.55,9.37,3,2026-05-07 16:51:37,POLLINATED
RUN_4,F127,CENTER,1,32.11,15.1,3,2026-05-07 16:51:40,POLLINATED
RUN_4,F208,RIGHT,2,55.0,3.83,3,2026-05-07 16:51:43,POLLINATED
RUN_4,F075,LEFT,0,4.11,9.02,3,2026-05-07 16:51:46,POLLINATED
RUN_4,F200,CENTER,1,33.95,2.91,3,2026-05-07 16:51:49,POLLINATED
RUN_4,F155,CENTER,1,27.91,17.44,3,2026-05-07 16:51:52,POLLINATED
RUN_4,F105,CENTER,1,35.82,13.55,3,2026-05-07 16:51:55,POLLINATED
RUN_4,F232,RIGHT,2,43.43,18.22,3,2026-05-07 16:51:58,POLLINATED
RUN_4,F207,RIGHT,2,40.89,15.03,3,2026-05-07 16:52:01,POLLINATED
RUN_4,F295,RIGHT,2,52.27,18.42,3,2026-05-07 16:52:04,POLLINATED
RUN_4,F195,CENTER,1,34.2,6.5,3,2026-05-07 16:52:07,POLLINATED
RUN_4,F011,LEFT,0,15.81,13.76,3,2026-05-07 16:52:10,POLLINATED
